reading_id,site_id,device_id,controller_channel,timestamp,voltage_v,current_a,power_kw,energy_kwh_interval,cumulative_energy_kwh,switching_state
R001,SITE-001,SITE-001-CH1,fridge,2026-01-01T00:00:00Z,230,0.9,0.18,0.045,0.045,on
R002,SITE-001,SITE-001-CH1,fridge,2026-01-01T00:15:00Z,231,1.0,0.20,0.05,0.095,on
R003,SITE-001,SITE-001-CH1,fridge,2026-01-01T00:45:00Z,229,0.95,0.19,0.0475,0.1425,on
R004,SITE-001,SITE-001-CH1,fridge,2026-01-01T01:00:00Z,300,1.0,0.20,0.05,0.1925,on
R005,SITE-001,SITE-001-CH2,geyser,2026-01-01T00:00:00Z,230,12.2,2.8,0.7,0.7,on
R006,SITE-001,SITE-001-CH2,geyser,2026-01-01T00:15:00Z,230,12.2,2.8,0.7,1.4,on
R007,SITE-001,SITE-001-CH2,geyser,2026-01-01T00:15:00Z,230,12.2,2.8,0.7,1.4,on
R008,SITE-001,SITE-001-CH2,geyser,2026-01-01T00:30:00Z,,,,,,fault
R009,SITE-002,SITE-002-CH1,lighting,2026-01-01T00:00:00Z,232,0.43,0.1,0.025,0.025,on
R010,SITE-002,SITE-002-CH1,lighting,2026-01-01T00:15:00Z,232,0.43,0.1,0.025,0.05,on
